Indicator,Total number of pregnant women Registered for ANC,Unnamed: 2,Unnamed: 3,Unnamed: 4,TT2 given to Pregnant women (numbers),TT Booster given to Pregnant women (numbers),Unnamed: 7,% Pregnant women received TT2+ TT Booster to Total ANC Registration,Unnamed: 9,Number of Pregnant women given 180 IFA tablets,% Pregnant women given 180 IFA to Total ANC Registration,Unnamed: 12,% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<7,% New cases of Pregnant Women detected at institution for hypertension to Total ANC Registrations,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,% Deliveries conducted at Public Institutions to Total Institutional Deliveries,Unnamed: 24,% Women getting 1st post partum check-up within 48 hours of home delivery to Total Reported Home Deliveries,Unnamed: 26,Unnamed: 27,% Complicated Pregnancies treated with Blood Transfusion to Total Women with Obstetric Complications attended,Unnamed: 29,Unnamed: 30,% Pregnant women tested positive for GDM to Total ANC Registration,Unnamed: 32,% Pregnant women tested for Syphilis to Total ANC Registration,Unnamed: 34,% Pregnant women treatd for Syphilis to Total sero positive for Syphilis,Total no. maternal deaths,Unnamed: 37,Unnamed: 38,Unnamed: 39,Total Sterlisation (Tubectomies and Vasectomies) conducted at Public institutions,% Laparoscopic sterlisations at Public Institutions to Total Laparoscopic Sterilisations,No of children 16-24 months age given Measles 2nd dose,Unnamed: 43,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Unnamed: 45,% Adult Female Inpatients to Total Adult Inpatient,Unnamed: 47,% Children Inpatient to Total Inpatient,Unnamed: 49,% Female Inpatient Deaths to Total Inpatient Deaths,Unnamed: 51,% Inpatient Deaths to Total IPD,Unnamed: 53,IPD (Number),Unnamed: 55,OPD (Allopathic),Unnamed: 57,Ayush OPD (Number),Unnamed: 59,OPD(Ayush+Allopathic),Unnamed: 61,% IPD to OPD,Unnamed: 63,Number of Major Operations,Unnamed: 65,Number of Minor Operations,Unnamed: 67,% Major Operations to Total Operation,Unnamed: 69,Number of Hysterectomy Surgeries,Unnamed: 71,% Hysterectomy Surgeries to Total Major Operations,Unnamed: 73,% AYUSH OPD to Total OPD,Unnamed: 75,Dental OPD (Number),Unnamed: 77,% Dental OPD to Total OPD,Unnamed: 79,% Hb < 7 mg to Total Hb Tests Conducted,Unnamed: 81,% Male HIV Positive to Total Males Tested,Unnamed: 83,% Female screened for HIV to Total ANC Registration,Unnamed: 85,% Female HIV Positive to Total Females Tested,Unnamed: 87,% Total HIV Positive to Total Tested ( Male + Female),Unnamed: 89,% Plasmodium Vivax test positive to Total Blood Smears Examined,Unnamed: 91,% Plasmodium Falciparum test positive to Total Blood Smears Examined,Unnamed: 93,Total Number of Infant Deaths reported,Unnamed: 95,% Deaths due to Sepsis to Total Reported Infant Deaths,Unnamed: 97,% Deaths due to Asphyxia to Total Reported Infant Deaths,Unnamed: 99,% Deaths due to Pneumonia to Total Reported Infant Deaths,Unnamed: 101,% Deaths due to Diarrhoea to Total Reported Infant Deaths,Unnamed: 103,% Deaths due to Fever to Total Reported Infant Deaths,Unnamed: 105,% Deaths due to Measles to Total Reported Infant Deaths,Unnamed: 107,Institutional Deliveries at Urban Heatlh Facilities i.e SC+PHC+CHC+SDH,Unnamed: 109,Institutional Deliveries at District Hospitals,Unnamed: 111,Measles immunization at urban Health facilities i.e SC+PHC+CHC+SDH+DH,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252,Unnamed: 253,Unnamed: 254,Unnamed: 255,Unnamed: 256,Unnamed: 257,Unnamed: 258,Unnamed: 259,Unnamed: 260,Unnamed: 261,Unnamed: 262,Unnamed: 263,Unnamed: 264,Unnamed: 265,Unnamed: 266,Unnamed: 267,Unnamed: 268,Unnamed: 269,Unnamed: 270,Unnamed: 271,Unnamed: 272,Unnamed: 273,Unnamed: 274,Unnamed: 275,Unnamed: 276,Unnamed: 277,Unnamed: 278,Unnamed: 279,Unnamed: 280,Unnamed: 281,Unnamed: 282,Unnamed: 283,Unnamed: 284,Unnamed: 285,Unnamed: 286,Unnamed: 287,Unnamed: 288,Unnamed: 289,Unnamed: 290,Unnamed: 291,Unnamed: 292,Unnamed: 293,Unnamed: 294,Unnamed: 295,Unnamed: 296,Unnamed: 297,Unnamed: 298,Unnamed: 299,Unnamed: 300,Unnamed: 301,Unnamed: 302,Unnamed: 303,Unnamed: 304,Unnamed: 305,Unnamed: 306,Unnamed: 307,Unnamed: 308,Unnamed: 309,Unnamed: 310,Unnamed: 311,Unnamed: 312,Unnamed: 313,Unnamed: 314,Unnamed: 315,Unnamed: 316,Unnamed: 317,Unnamed: 318,Unnamed: 319,Unnamed: 320,Unnamed: 321,Unnamed: 322,Unnamed: 323,Unnamed: 324,Unnamed: 325,Unnamed: 326,Unnamed: 327,Unnamed: 328,Unnamed: 329,Unnamed: 330,Unnamed: 331,Unnamed: 332,Unnamed: 333,Unnamed: 334,Unnamed: 335,Unnamed: 336,Unnamed: 337,Unnamed: 338,Unnamed: 339,Unnamed: 340,Unnamed: 341,Unnamed: 342,Unnamed: 343,Unnamed: 344,Unnamed: 345,Unnamed: 346,Unnamed: 347,Unnamed: 348,Unnamed: 349,Unnamed: 350,Unnamed: 351,Unnamed: 352,Unnamed: 353,Unnamed: 354,Unnamed: 355,Unnamed: 356,Unnamed: 357,Unnamed: 358,Unnamed: 359,Unnamed: 360,Unnamed: 361,Unnamed: 362,Unnamed: 363,Unnamed: 364,Unnamed: 365,Unnamed: 366,Unnamed: 367,Unnamed: 368,Unnamed: 369,Unnamed: 370,Unnamed: 371,Unnamed: 372,Unnamed: 373,Unnamed: 374,Unnamed: 375,Unnamed: 376,Unnamed: 377,Unnamed: 378,Unnamed: 379,Unnamed: 380,Unnamed: 381,Unnamed: 382,Unnamed: 383,Unnamed: 384,Unnamed: 385,Unnamed: 386,Unnamed: 387,Unnamed: 388,Unnamed: 389,Unnamed: 390,Unnamed: 391,Unnamed: 392,Unnamed: 393,Unnamed: 394,Unnamed: 395,Unnamed: 396,Unnamed: 397
_Arunachal Pradesh,30162,32159,12499,38.9,14362,3331,3169,58.7,54.9,17527,58.1,44.9,63.4,1.9,758,788,75.3,2546.0,48.5,16984,52.8,39.2,85.8,4024,107.7,157.3,1.5,37.1,3711,11.5,0.1,0.5,48.7,39.3,69.6,13,0.0,86.3,131.0,977,89.5,83.0,1465.0,16882,14406,64.5,63.0,20.6,20.3,38.2,37.2,0.8,1.1,73511,71078,1533301,1323898,159473,134069,1692774,1457967,4.3,4.9,9330.0,7878.0,13802,11384,40.3,40.9,1076.0,1374.0,11.5,17.4,9.4,9.2,73497,55696,4.3,3.8,1.9,2.2,0.2,0.2,43.4,38.5,0.5,0.3,0.4,0.3,0.2,1.1,0.2,0.2,85,153,7.1,13.1,11.8,19.0,9.4,5.2,1.2,3.9,1.2,0.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjaw,414,437,120,27.5,196,59,20,61.6,49.0,346,83.6,31.8,,0.5,17,11,90.6,,,64,14.6,,100.0,28,58.3,37.5,0.0,,22,5.0,0.0,0.0,26.8,11.7,100.0,0,0.0,100.0,,19,100.0,0.0,5.0,261,207,67.5,58.5,30.0,24.4,,50.0,0.0,0.4,523,446,18460,19815,6308,4823,24768,24638,2.1,1.8,0.0,0.0,67,90,0.0,0.0,0.0,0.0,,,25.5,19.6,545,651,2.2,2.6,2.0,0.5,0.0,0.0,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changlang,3051,3197,1091,34.1,2015,581,535,85.1,80.0,1337,43.8,35.3,91.4,0.7,106,179,61.0,,,1206,37.7,,100.0,436,53.3,46.7,0.7,0.0,111,3.5,0.0,0.0,34.4,31.7,6.7,0,0.0,45.5,,0,,0.0,125.0,1762,1983,70.1,68.4,22.4,20.7,0.0,16.7,0.3,0.1,4337,4500,84079,93376,24463,19020,108542,112396,4.0,4.0,435.0,719.0,1141,967,27.6,42.6,0.0,0.0,0.0,0.0,22.5,16.9,6762,7384,6.2,6.6,1.0,2.7,0.0,0.0,8.8,10.4,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dibang Valley,122,158,47,29.7,45,25,26,57.4,18.4,98,80.3,20.3,,0.0,5,5,92.1,,,38,24.1,,100.0,27,100.0,600.0,0.0,,17,10.8,0.0,0.0,0.0,0.0,,0,0.0,,,0,,0.0,28.0,94,22,47.7,47.9,33.0,34.8,,,0.0,0.0,97,112,8746,9928,317,1525,9063,11453,1.1,1.0,0.0,0.0,155,97,0.0,0.0,0.0,0.0,,,3.5,13.3,38,27,0.4,0.2,24.1,0.0,,0.0,29.5,28.5,0.0,0.0,0.0,0.0,0.0,,25.0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Kameng,1236,1619,1010,62.4,508,301,239,65.5,58.8,749,60.6,22.6,,0.6,15,35,80.9,,,635,39.2,,100.0,124,30.1,104.3,0.0,,58,3.6,0.0,0.0,6.4,2.0,100.0,0,0.0,98.3,,0,,5.0,115.0,794,170,64.4,67.9,33.2,32.8,,100.0,0.0,0.0,1684,2341,44501,40961,4706,4474,49207,45435,3.4,5.2,0.0,0.0,13,21,0.0,0.0,0.0,0.0,,,9.6,9.8,2991,2546,6.1,5.6,1.0,1.8,0.0,0.0,18.3,9.9,0.0,0.0,0.0,0.0,0.5,1.4,0.0,0.0,0,6,,0.0,,0.0,,16.7,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Siang,2194,2135,1098,51.4,1194,325,314,69.2,70.5,1280,58.3,62.0,90.9,1.5,37,60,84.5,59.0,49.2,1929,90.4,59.3,97.5,394,530.9,474.7,1.3,87.0,364,17.0,0.3,2.0,59.2,51.1,92.9,3,0.0,98.3,36.0,149,81.3,0.0,108.0,1153,1287,68.9,64.1,28.9,28.3,42.3,38.3,1.3,1.5,11203,10000,142076,125170,4931,4510,147007,129680,7.6,7.7,1936.0,1704.0,1553,1437,55.5,54.3,153.0,96.0,7.9,5.6,3.4,3.5,7173,6885,4.9,5.3,3.7,2.7,0.1,0.0,36.9,25.3,0.0,0.4,0.1,0.1,0.1,1.4,0.1,0.3,37,50,8.1,24.0,24.3,16.0,5.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kra Daadi,163,279,102,36.6,82,15,45,59.5,63.1,151,92.6,65.6,,8.6,27,80,98.0,,,51,18.3,,100.0,23,24.1,42.9,0.0,,29,10.4,0.0,0.0,38.7,21.5,,0,,75.0,,0,,1.0,65.0,35,81,47.3,53.7,50.2,42.2,,,0.0,0.0,602,758,7041,7509,317,614,7358,8123,8.2,9.3,0.0,0.0,73,67,0.0,0.0,0.0,0.0,,,4.3,7.6,52,84,0.7,1.0,0.0,5.2,,0.0,0.0,1.8,,0.0,,0.0,3.5,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kurung Kumey,599,836,556,66.5,173,103,111,46.1,40.9,593,99.0,100.0,,0.7,48,49,94.0,,,217,26.0,,100.0,194,74.1,120.0,0.0,,236,28.2,0.0,0.0,40.6,33.1,,0,0.0,100.0,,0,,0.0,0.0,370,481,63.5,59.1,32.1,34.2,,,0.0,0.0,1627,1800,24292,20792,261,381,24553,21173,6.6,8.5,0.0,0.0,438,361,0.0,0.0,0.0,0.0,,,1.1,1.8,1033,363,4.2,1.7,0.1,1.9,0.0,0.0,12.7,12.2,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lohit,1123,1413,648,45.9,585,81,81,59.3,50.2,598,53.3,40.6,12.5,1.5,1,8,88.9,,,973,68.9,,100.0,60,185.7,127.0,0.0,57.1,101,7.1,0.0,0.2,40.3,30.7,0.0,2,0.0,64.9,,76,100.0,0.0,63.0,791,623,68.9,66.8,16.9,16.3,33.3,26.9,0.7,1.1,3677,2289,63529,59070,6080,5746,69609,64816,5.3,3.5,51.0,17.0,1434,929,3.4,1.8,11.0,10.0,21.6,58.8,8.7,8.9,2047,2434,2.9,3.8,3.0,3.8,0.9,0.0,21.5,27.7,0.0,0.0,0.3,0.0,0.0,0.3,3.3,0.2,1,2,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longding,1098,1046,435,41.6,778,113,106,81.1,90.1,592,53.9,64.3,11.1,0.3,106,89,79.5,,,298,28.5,,100.0,51,44.2,67.9,0.0,,59,5.6,0.0,0.0,29.1,33.7,,0,0.0,0.0,,0,,0.0,186.0,494,126,58.2,57.0,11.6,15.0,,0.0,0.0,0.4,603,528,22578,26612,7581,5090,30159,31702,2.0,1.7,0.0,0.0,104,141,0.0,0.0,0.0,0.0,,,25.1,16.1,1299,1020,4.3,3.2,0.5,2.1,,,0.0,0.6,,0.0,,0.0,0.5,1.0,0.0,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
